Drug Name,Generic Name, Number of Prescribers , Number of Medicare Part D Claims , Number of Standardized 30-Day Part D Fills ,Aggregate Cost Paid for Part D Claims, Number of Medicare Beneficiaries , GE65 Suppression Flag , Number of Medicare Part D Claims for Beneficiaries 65+ , Number of Standardized 30-Day Part D Fills for Beneficiaries 65+ ,Aggregate Cost Paid for Part D Claims for Beneficiaries 65+, Beneficiary 65+ Suppression Flag , Number of Medicare Beneficiaries 65+ ,Aggregate Cost Share for Beneficiaries with Low Income Subsidy,Aggregate Cost Share for Beneficiaries with No Low Income Subsidy, Opioid Drug Flag ,Extended-Release Opioid Drug Flag, Antibiotic Drug Flag , Antipsychotic Drug Flag 
TOBRAMYCIN SULFATE,TOBRAMYCIN SULFATE,4709,16133,16368.0,6092941.27,6913,,10563,10760.6,3676810.30,,4873,10811.90,212056.85,N,N,Y,N
TOBRAMYCIN-DEXAMETHASONE,TOBRAMYCIN/DEXAMETHASONE,79132,491133,504858.9,41790537.13,365360,,436346,448690.1,37043744.44,,325360,272760.93,9871755.21,N,N,N,N
TOBREX,TOBRAMYCIN,7853,12870,12985.0,2550804.82,9702,,10600,10693.7,2087340.91,,8081,18136.75,374565.84,N,N,N,N
TOFRANIL,IMIPRAMINE HCL,77,384,601.5,649383.92,70,,304,500.5,529403.65,,58,139.61,27215.05,N,N,N,N
TOFRANIL-PM,IMIPRAMINE PAMOATE,11,14,17.0,38619.68,11,#,,,,#,,18.40,622.22,N,N,N,N
TOLAK,FLUOROURACIL,989,2421,2476.1,372968.14,2233,,2315,2364.7,356492.62,,2158,965.22,164245.56,N,N,N,N
TOLAZAMIDE,TOLAZAMIDE,271,827,2035.8,239433.28,246,,793,1952.2,227010.73,,234,461.85,17651.17,N,N,N,N
TOLBUTAMIDE,TOLBUTAMIDE,206,830,1637.1,92933.07,192,,776,1563.5,88710.60,#,,355.85,16218.37,N,N,N,N
TOLCAPONE,TOLCAPONE,113,687,838.9,6333303.59,104,,576,682,4970656.59,,83,156.93,140655.42,N,N,N,N
TOLMETIN SODIUM,TOLMETIN SODIUM,730,2805,4387.2,580310.28,788,,2287,3657.3,462478.90,,643,1817.80,74090.49,N,N,N,N
TOLTERODINE TARTRATE,TOLTERODINE TARTRATE,50189,301555,404722.3,36395712.58,65719,,252352,345504.1,30644997.91,,56097,215870.62,4769253.44,N,N,N,N
TOLTERODINE TARTRATE ER,TOLTERODINE TARTRATE,110378,933697,1410012.4,210832876.54,206059,,793548,1226190.5,182672800.16,,179419,635166.60,17294067.26,N,N,N,N
TOPAMAX,TOPIRAMATE,5942,47542,60747.6,55582496.44,5830,,10605,15291.9,11535062.67,,1616,80363.67,1004573.79,N,N,N,N
TOPCARE CLICKFINE,"PEN NEEDLE, DIABETIC",155,368,599.6,8580.91,152,,238,393.8,5362.75,,106,591.90,1852.84,N,N,N,N
TOPCARE ULTRA COMFORT,"SYRING-NEEDL,DISP,INSUL,0.3 ML",51,88,129.2,1534.87,48,,59,85.5,957.27,,30,116.37,446.13,N,N,N,N
TOPCARE ULTRA COMFORT,"SYRINGE AND NEEDLE,INSULIN,1ML",156,342,495.1,5929.29,161,,199,293.4,3343.37,,93,543.75,1415.89,N,N,N,N
TOPCARE ULTRA COMFORT,"SYRINGE-NEEDLE,INSULIN,0.5 ML",99,233,304.8,3707.74,102,,157,211.7,2430.30,,67,411.51,1008.00,N,N,N,N
TOPICORT,DESOXIMETASONE,1364,2582,2744.0,1360565.20,1664,,2180,2329.8,1141353.09,,1441,2013.87,146093.99,N,N,N,N
TOPIRAMATE,TOPIRAMATE,187918,3044396,4018141.4,40820373.93,523324,,1029306,1542525.6,15420910.52,,206494,2231527.23,7853716.86,N,N,N,N
TOPIRAMATE ER,TOPIRAMATE,1415,5039,5869.8,2590908.25,1388,,1375,1749.7,621844.36,,453,8074.87,74123.99,N,N,N,N
TOPOSAR,ETOPOSIDE,16,62,62.7,2425.78,20,#,,,,#,,124.18,135.64,N,N,N,N
TOPOTECAN HCL,TOPOTECAN HCL,21,82,82.0,75191.06,25,,57,57,46821.08,#,,10.80,3737.75,N,N,N,N
TOPROL XL,METOPROLOL SUCCINATE,92774,780084,2172743.9,45770990.88,214850,,758278,2118547,44360766.21,,208757,144832.98,15231081.04,N,N,N,N
TORISEL,TEMSIROLIMUS,18,83,83.0,423265.15,24,#,,,,#,,47.40,11083.78,N,N,N,N
TORSEMIDE,TORSEMIDE,129585,1530133,2352909.2,25970170.78,329623,,1316867,2057074.4,22149463.93,,284840,644328.01,8459055.81,N,N,N,N
TOUJEO SOLOSTAR,"INSULIN GLARGINE,HUM.REC.ANLOG",56587,621423,882153.9,345279807.21,148329,,441287,642524.5,235228012.39,,107343,1458684.73,29999772.56,N,N,N,N
TOVIAZ,FESOTERODINE FUMARATE,44225,365369,499351.0,123804568.53,73677,,297796,415801.1,102561010.65,,61760,580333.56,14197234.86,N,N,N,N
TPN ELECTROLYTES,SODIUM/POT/MAG/CALC/CHLOR/ACET,,29,29.0,1916.18,,,16,16,640.88,*,,28.00,0.00,N,N,N,N
TRACLEER,BOSENTAN,1909,32200,32205.0,304753151.93,3357,,21500,21500,202986533.44,,2229,234752.64,10716081.08,N,N,N,N
TRADJENTA,LINAGLIPTIN,103228,1558280,2132045.8,707987639.21,276586,,1277739,1769185.4,584300092.22,,227203,3450093.69,44977875.26,N,N,N,N
TRAMADOL HCL,TRAMADOL HCL,535970,14836393,15857465.5,122311829.06,4509711,,11394685,12286412.3,95999984.99,,3592640,6312872.68,39648049.23,Y,N,N,N
TRAMADOL HCL ER,TRAMADOL HCL,30697,161738,194856.4,17835387.35,38648,,116311,144731.8,12751090.03,,28204,118941.05,2808445.89,Y,Y,N,N
TRAMADOL HCL-ACETAMINOPHEN,TRAMADOL HCL/ACETAMINOPHEN,78757,661654,709514.1,13964710.88,258590,,569726,614353.5,12021325.27,,219665,260873.31,4115658.24,Y,N,N,N
TRANDOLAPRIL,TRANDOLAPRIL,21778,129147,262852.1,3043710.32,25358,,119994,247636.6,2863270.88,,23771,34971.90,1148801.00,N,N,N,N
TRANDOLAPRIL-VERAPAMIL ER,TRANDOLAPRIL/VERAPAMIL HCL,1972,8091,15005.7,1531631.09,1814,,7654,14347.7,1460993.21,,1713,3068.69,208298.37,N,N,N,N
TRANEXAMIC ACID,TRANEXAMIC ACID,2487,7178,7483.3,1106880.10,3151,,2689,2865.5,563189.22,,1300,4189.89,105301.31,N,N,N,N
TRANSDERM-SCOP,SCOPOLAMINE,83276,242989,248550.9,28359724.52,128883,,171473,174777.8,18539979.01,,105018,209073.43,5255392.43,N,N,N,N
TRANXENE T-TAB,CLORAZEPATE DIPOTASSIUM,148,687,863.1,449548.75,127,,455,584.9,251310.64,,96,499.94,37872.48,N,N,N,N
TRANYLCYPROMINE SULFATE,TRANYLCYPROMINE SULFATE,2101,13101,17314.1,4461501.17,1930,,8363,11793.1,2754000.88,,1292,17574.16,647211.29,N,N,N,N
TRAVASOL,PARENTERAL AMINO ACID 10% NO.6,357,3879,3879.0,676960.30,324,,1984,1984,336630.89,,195,4837.20,54054.12,N,N,N,N
TRAVATAN Z,TRAVOPROST,70767,1694464,2251381.8,383864150.53,368807,,1566447,2093722.9,356574898.40,,342494,2961332.86,55496311.68,N,N,N,N
TRAVOPROST,TRAVOPROST (BENZALKONIUM),8695,34320,47449.3,4522708.70,13388,,32748,45486.6,4340777.29,,12739,19190.68,759230.17,N,N,N,N
TRAZODONE HCL,TRAZODONE HCL,352989,12357461,16880254.2,112625087.73,2405859,,7814225,11368172,72506023.09,,1627755,6036944.92,28923739.94,N,N,N,N
TREANDA,BENDAMUSTINE HCL,103,538,538.0,4782648.63,128,,467,467,4135618.21,,108,7199.65,101169.09,N,N,N,N
TRECATOR,ETHIONAMIDE,,22,22.0,5530.23,,,22,22,5530.23,*,,39.80,440.22,N,N,N,N
TRELSTAR,TRIPTORELIN PAMOATE,508,4728,11619.7,10791701.47,1829,,4503,11199.5,10409794.38,,1762,34576.94,1007970.43,N,N,N,N
TRESIBA FLEXTOUCH U-100,INSULIN DEGLUDEC,13373,56317,87959.1,28121429.33,21605,,38822,61992.6,18866630.86,,15005,115690.35,2108733.56,N,N,N,N
TRESIBA FLEXTOUCH U-200,INSULIN DEGLUDEC,20671,131834,190216.6,111614342.61,42420,,81997,123392.2,66922365.20,,27669,251300.43,5571481.34,N,N,N,N
TRETINOIN,TRETINOIN,34838,139701,151188.6,24158000.17,73269,,92564,102030.6,16175007.86,,53033,93634.26,3228503.82,N,N,N,N
TRETINOIN MICROSPHERE,TRETINOIN MICROSPHERES,1667,3431,4029.2,1436543.46,1779,,2361,2840.9,1003626.24,,1314,1988.92,95619.66,N,N,N,N
TREXALL,METHOTREXATE SODIUM,943,3442,5188.2,734359.77,938,,2645,4114.3,565967.86,,699,4041.50,138855.44,N,N,N,N
TREXIMET,SUMATRIPTAN SUCC/NAPROXEN SOD,1978,7710,8431.9,8122697.06,1878,,3066,3508.6,3274353.01,,850,12389.78,280956.32,N,N,N,N
TREZIX,ACETAMINOPHEN/CAFF/DIHYDROCOD,374,947,962.3,305973.12,492,,521,527.8,164971.87,,281,995.33,41528.26,Y,N,N,N
TRI-ESTARYLLA,NORGESTIMATE-ETHINYL ESTRADIOL,789,3345,4507.5,61324.65,692,*,,,,*,,3489.35,3593.47,N,N,N,N
TRI-LEGEST FE,NORETHINDRONE-E.ESTRADIOL-IRON,211,1138,1506.6,60557.11,188,*,,,,*,,1223.17,5016.32,N,N,N,N
TRI-LINYAH,NORGESTIMATE-ETHINYL ESTRADIOL,2280,10528,12684.5,163665.74,2053,*,,,,*,,10207.49,6561.54,N,N,N,N
TRI-LO-ESTARYLLA,NORGESTIMATE-ETHINYL ESTRADIOL,371,975,1191.7,38981.18,344,*,,,,*,,1361.30,1082.32,N,N,N,N
TRI-LO-MARZIA,NORGESTIMATE-ETHINYL ESTRADIOL,172,376,474.0,18665.38,158,*,,,,*,,444.18,213.92,N,N,N,N
TRI-LO-SPRINTEC,NORGESTIMATE-ETHINYL ESTRADIOL,544,1681,2043.6,67270.79,506,,13,13,312.62,*,,1669.32,1560.01,N,N,N,N
TRI-PREVIFEM,NORGESTIMATE-ETHINYL ESTRADIOL,2387,11880,14039.3,188924.91,2181,*,,,,*,,11172.76,9066.36,N,N,N,N
TRI-SPRINTEC,NORGESTIMATE-ETHINYL ESTRADIOL,5657,29725,35468.3,444647.85,5150,,42,62.2,936.05,,18,27643.67,21883.72,N,N,N,N
TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,355388,4344369,4540765.1,68385530.81,2472628,,3576516,3747453.7,56776378.41,,2074504,2065445.07,20869278.20,N,N,N,N
TRIAMTERENE-HYDROCHLOROTHIAZID,TRIAMTERENE/HYDROCHLOROTHIAZID,219303,4440098,9095166.8,56235398.04,999870,,3942186,8310114.2,51113138.34,,903435,1450521.49,25126566.31,N,N,N,N
TRIANEX,TRIAMCINOLONE ACETONIDE,631,875,1005.2,725078.48,692,,698,817.2,579824.11,,563,604.73,24304.56,N,N,N,N
TRIAZOLAM,TRIAZOLAM,25219,129284,148696.9,5475788.23,35599,,102261,120086.8,4301281.28,,28432,81314.84,1299778.11,N,N,N,N
TRIBENZOR,OLMESARTAN/AMLODIPIN/HCTHIAZID,21439,172947,262096.8,64171022.61,32864,,155105,236896.3,57894590.39,,29349,310324.92,7138291.60,N,N,N,N
TRICARE,PRENATAL #103/IRON FUMARATE/FA,33,103,125.7,3048.50,36,,31,37,874.40,*,,155.46,70.79,N,N,N,N
TRICARE PRENATAL DHA ONE,PNV20/IRON/FOLIC/DOCUSATE/OM3S,,29,29.0,2107.79,,,16,16,1213.56,*,,43.85,475.54,N,N,N,N
TRICITRATES,SOD/POT/K CIT/SOD CIT/CIT ACID,65,209,239.5,13105.74,59,,81,96.3,3712.68,,36,263.06,2033.15,N,N,N,N
TRICOR,FENOFIBRATE NANOCRYSTALLIZED,18013,65339,184119.5,5015784.12,21377,,61389,174816.5,4759793.17,,19959,11996.82,1313989.20,N,N,N,N
TRIDERM,TRIAMCINOLONE ACETONIDE,43,54,65.4,31757.02,43,,41,52.4,26406.89,,31,121.11,749.49,N,N,N,N
TRIESENCE,TRIAMCINOLONE ACETONIDE/PF,23,72,88.0,13430.26,45,#,,,,#,,189.00,2097.56,N,N,N,N
TRIFLUOPERAZINE HCL,TRIFLUOPERAZINE HCL,12876,109744,130711.2,8113613.62,14292,,54526,69379.6,3666433.07,,7337,106981.78,682665.40,N,N,N,Y
TRIFLURIDINE,TRIFLURIDINE,8423,17263,19302.4,2186663.16,12733,,14991,16839,1895012.11,,11080,13886.14,558531.81,N,N,N,N
TRIGLIDE,FENOFIBRATE NANOCRYSTALLIZED,510,1306,2446.5,517166.54,498,,1055,2119.5,446673.65,,400,1571.39,72602.68,N,N,N,N
TRIHEXYPHENIDYL HCL,TRIHEXYPHENIDYL HCL,27406,270317,310501.5,2912841.64,40822,,92734,116996,1070404.78,,16263,178201.00,461636.50,N,N,N,N
TRILEPTAL,OXCARBAZEPINE,2548,19931,25323.5,19913574.82,2466,,4591,6579.6,3931413.45,,698,28597.49,549142.17,N,N,N,N
TRILIPIX,FENOFIBRIC ACID (CHOLINE),1285,4939,8259.4,1735495.42,1281,,4011,7009.6,1472626.80,,1026,7503.52,210230.44,N,N,N,N
TRILYTE WITH FLAVOR PACKETS,SODIUM CHLORIDE/NAHCO3/KCL/PEG,5292,18993,19541.1,330538.70,18226,,14594,14991.5,252964.39,,14126,10626.53,120314.49,N,N,N,N
TRIMETHOBENZAMIDE HCL,TRIMETHOBENZAMIDE HCL,3197,9025,10067.9,743790.47,4110,,5544,6256.4,440851.69,,2801,4595.96,118111.20,N,N,N,N
TRIMETHOPRIM,TRIMETHOPRIM,29032,288749,429826.8,4600232.99,77539,,264113,396802.2,4244912.10,,71265,91728.66,2009000.31,N,N,Y,N
TRIMIPRAMINE MALEATE,TRIMIPRAMINE MALEATE,116,364,644.6,123706.64,109,,317,588.6,108962.04,,85,91.26,22691.81,N,N,N,N
TRINATAL GT,PRENATAL VITS16/IRON/FOLIC/DSS,15,35,71.0,522.79,14,#,,,,#,,21.15,249.01,N,N,N,N
TRINATAL RX 1,"PRENATAL VIT27,CALCIUM/IRON/FA",132,469,587.0,3911.55,155,,287,348.9,2441.48,,83,244.49,1054.18,N,N,N,N
TRINESSA,NORGESTIMATE-ETHINYL ESTRADIOL,4318,19274,26431.1,370809.71,3925,,41,60.8,968.26,,11,23320.14,20479.77,N,N,N,N
TRINESSA LO,NORGESTIMATE-ETHINYL ESTRADIOL,537,1448,2076.4,46787.26,502,*,,,,*,,2192.60,2527.83,N,N,N,N
TRINTELLIX,VORTIOXETINE HYDROBROMIDE,25011,160949,184666.5,57976611.78,44917,,76397,91443.7,28084370.38,,21909,289581.22,4398163.93,N,N,N,N
TRIPHROCAPS,B COMPLEX W-C NO.20/FOLIC ACID,83,258,362.9,4271.56,82,,223,319.9,3759.54,#,,249.16,452.59,N,N,N,N
TRISTART DHA,PRENATAL NO.93/IRON/FA #9/DHA,12,206,308.0,29013.56,53,,137,209,19653.25,,30,308.20,1251.03,N,N,N,N
TRIUMEQ,ABACAVIR/DOLUTEGRAVIR/LAMIVUDI,7266,186449,192462.8,460852678.27,23639,,49578,52776.5,125793531.17,,6243,549518.19,5882704.06,N,N,N,N
TRIVORA-28,LEVONORGESTREL-ETHIN ESTRADIOL,649,3446,4647.7,80657.96,535,,21,53.6,781.78,*,,2696.90,5897.97,N,N,N,N
TRIZIVIR,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,228,1104,1173.0,1790495.75,217,,443,463,692433.76,,81,1794.09,39021.21,N,N,N,N
TROKENDI XR,TOPIRAMATE,3117,20781,24011.8,18296925.74,4233,,5073,6336.2,3617990.81,,1186,46811.68,419764.92,N,N,N,N
TROPICAMIDE,TROPICAMIDE,593,4542,5457.0,49074.88,3922,,4161,4929.3,43858.96,,3636,1370.76,19938.70,N,N,N,N
TROSPIUM CHLORIDE,TROSPIUM CHLORIDE,25463,208433,345625.4,21240914.49,57482,,186391,316568.4,18822846.90,,52833,103295.53,3809931.97,N,N,N,N
TROSPIUM CHLORIDE ER,TROSPIUM CHLORIDE,14234,95418,159583.6,21288742.12,24376,,84643,144210.4,19199837.78,,22132,47191.22,2358308.80,N,N,N,N
TRUEPLUS INSULIN SYRINGE,"SYRING-NEEDL,DISP,INSUL,0.3 ML",5869,17692,24247.5,371848.21,6562,,12986,18056.4,270882.94,,4727,22819.26,72292.08,N,N,N,N
TRUEPLUS INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",12631,47804,67735.2,1029601.94,16373,,30246,44083.5,636035.79,,10412,70937.45,128484.77,N,N,N,N
TRUEPLUS INSULIN SYRINGE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",14248,60330,83933.4,1212549.32,20001,,44472,62834.7,872712.73,,14289,88690.00,171515.47,N,N,N,N
TRULICITY,DULAGLUTIDE,33729,357905,446915.3,269275335.41,79897,,248120,317067.4,190681489.00,,56544,695208.60,20587668.81,N,N,N,N
TRUMENBA,"N.MENINGITIDIS B,LIPID FHBP RC",158,266,272.0,30236.19,221,,186,190,20341.92,,157,693.06,6445.09,N,N,N,N
TRUSOPT,DORZOLAMIDE HCL,661,2762,4388.5,309566.54,670,,2676,4263.2,301758.31,,646,2464.48,104600.14,N,N,N,N
TRUVADA,EMTRICITABINE/TENOFOVIR (TDF),17017,420728,438949.4,636020477.13,54832,,86954,95138.5,136057988.42,,11820,1031499.27,9208544.97,N,N,N,N
TUDORZA PRESSAIR,ACLIDINIUM BROMIDE,29528,161991,207020.3,59519218.19,48249,,128889,168937.9,48389694.80,,37106,391626.74,7196348.67,N,N,N,N
TWINRIX,HEPATITIS A AND B VACCINE/PF,5912,22164,22274.9,2538120.09,13720,,16765,16845.3,1896837.95,,10271,29824.40,694725.38,N,N,N,N
TWYNSTA,TELMISARTAN/AMLODIPINE,102,589,792.0,154991.75,96,,566,769,150531.13,#,,573.98,23271.91,N,N,N,N
TYBOST,COBICISTAT,148,704,727.0,152475.86,135,,187,201,43372.44,,28,660.38,2419.63,N,N,N,N
TYGACIL,TIGECYCLINE,1018,4520,4521.4,6101071.38,1154,,2785,2786.4,3496595.26,,755,11623.06,386057.65,N,N,Y,N
TYKERB,LAPATINIB DITOSYLATE,1103,5126,5274.6,26721847.60,1144,,3229,3346.8,16618042.37,,739,45868.45,1633353.72,N,N,N,N
TYLENOL-CODEINE NO.3,ACETAMINOPHEN WITH CODEINE,482,1424,1518.2,150551.14,420,,1154,1231.1,121966.01,,356,472.75,34876.64,Y,N,N,N
TYLENOL-CODEINE NO.4,ACETAMINOPHEN WITH CODEINE,231,964,1027.6,277491.08,176,,711,753.6,198944.19,,130,981.58,34914.45,Y,N,N,N
TYPHIM VI,TYPHOID VACC VI CAPSULR POLYS,3246,11188,11307.8,1072677.54,11151,,10651,10764.8,1017510.24,,10614,3995.40,360165.91,N,N,N,N
TYSABRI,NATALIZUMAB,416,6103,6123.2,35404840.36,800,,760,760.4,4387868.45,,108,41345.11,904487.85,N,N,N,N
TYVASO REFILL KIT,TREPROSTINIL/NEB ACCESSORIES,33,203,210.3,3225898.44,35,,109,109.1,1716622.75,,20,843.01,34891.32,N,N,N,N
TYZEKA,TELBIVUDINE,49,288,312.0,317643.00,42,,155,171,182163.43,,22,1422.07,15752.26,N,N,N,N
UCERIS,BUDESONIDE,4109,15689,18210.4,27151554.65,5216,,12590,14767.3,21796812.28,,4238,26762.27,1768825.63,N,N,N,N
ULORIC,FEBUXOSTAT,67840,652653,934935.8,249453012.60,120221,,570476,828578.7,219867858.57,,105358,1104398.29,25541366.33,N,N,N,N
ULTICARE,"SYR,NDL,INSULIN,1ML-SHARPS BIN",135,358,487.3,10252.38,151,,238,320.5,6763.36,,99,302.68,907.46,N,N,N,N
ULTICARE,"SYR-ND,INS,0.3/CONTAINER,EMPTY",42,114,148.7,2563.37,47,,79,107.7,1887.17,,34,99.53,388.30,N,N,N,N
ULTICARE,"SYR-ND,INS,0.5/CONTAINER,EMPTY",77,209,262.4,6356.93,80,,143,184.8,4228.64,,58,176.00,1189.79,N,N,N,N
ULTICARE,"SYRING-NEEDL,DISP,INSUL,0.3 ML",1850,4651,6838.4,123560.25,1900,,3320,5047.4,87883.60,,1373,6062.67,24629.48,N,N,N,N
ULTICARE,"SYRINGE AND NEEDLE,INSULIN,1ML",5414,16053,23264.3,450061.09,5791,,10133,15212,281391.35,,3725,20809.40,64097.67,N,N,N,N
ULTICARE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",4705,13778,19742.9,376583.55,4985,,9887,14637.7,268158.18,,3581,19485.46,64026.06,N,N,N,N
ULTICARE INSULIN SYRINGE,"SYRGE-NDL,INS 0.3 ML HALF MARK",19,37,42.6,1004.07,18,,21,25.7,557.93,*,,78.36,33.86,N,N,N,N
ULTICARE INSULIN SYRINGE,"SYRING-NEEDL,DISP,INSUL,0.3 ML",40,61,89.7,1706.13,41,,47,72.2,1306.94,#,,68.66,447.75,N,N,N,N
ULTICARE INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",104,171,247.2,5325.14,111,,100,155,3332.72,,67,178.79,731.70,N,N,N,N
ULTICARE INSULIN SYRINGE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",91,147,229.4,4776.60,92,,114,187.5,3789.16,,70,225.52,979.85,N,N,N,N
ULTICARE PEN NEEDLE,"PEN NEEDLE, DIABETIC",43121,214996,320430.4,8739029.58,72519,,151129,230340.3,5983309.60,,51194,274081.26,1249193.81,N,N,N,N
ULTILET INSULIN SYRINGE,"SYRING-NEEDL,DISP,INSUL,0.3 ML",20,67,69.3,843.10,22,,55,57.3,615.83,#,,18.73,33.86,N,N,N,N
ULTILET INSULIN SYRINGE,"SYRINGE AND NEEDLE,INSULIN,1ML",68,288,328.7,4626.05,82,,199,233,3215.70,,54,0.00,417.00,N,N,N,N
ULTILET INSULIN SYRINGE,"SYRINGE-NEEDLE,INSULIN,0.5 ML",17,44,46.7,657.10,19,#,,,,#,,0.00,62.86,N,N,N,N
ULTIMATECARE ONE,"PNV,CALCIUM37/IRON/FOLIC/OMEG3",56,182,336.0,9148.63,58,,109,211,5703.07,,35,198.59,1229.13,N,N,N,N
ULTRA COMFORT,"SYRGE-NDL,INS 0.3 ML HALF MARK",615,1305,1730.3,19174.43,610,,983,1330.6,14291.67,,457,1770.96,4725.92,N,N,N,N
ULTRA COMFORT,"SYRING-NEEDL,DISP,INSUL,0.3 ML",711,1656,2890.3,45607.03,715,,1286,2292.6,35367.38,,536,1922.79,7382.90,N,N,N,N
ULTRA COMFORT,"SYRINGE AND NEEDLE,INSULIN,1ML",5735,16051,25828.6,365405.98,6439,,10870,17955.8,244191.98,,4321,19588.25,45573.68,N,N,N,N
ULTRA COMFORT,"SYRINGE W-NDL, DISP., INSULIN",,19,19.0,247.31,,*,,,,*,,1.20,7.92,N,N,N,N
ULTRA COMFORT,"SYRINGE-NEEDLE,INSULIN,0.5 ML",4731,14279,21123.6,306523.21,5281,,10584,15850.5,226991.47,,3782,20387.68,39164.09,N,N,N,N
ULTRA-THIN II,"PEN NEEDLE, DIABETIC",1758,4386,6910.8,152085.99,1911,,2802,4672.5,96609.04,,1263,7386.20,19892.60,N,N,N,N
ULTRA-THIN II,"SYRING-NEEDL,DISP,INSUL,0.3 ML",256,636,1001.5,20127.59,291,,486,784.3,15474.19,,226,988.94,4505.89,N,N,N,N
ULTRA-THIN II,"SYRINGE AND NEEDLE,INSULIN,1ML",602,1766,2439.7,50561.23,664,,1113,1589.4,31068.34,,431,2727.60,6169.63,N,N,N,N
ULTRA-THIN II,"SYRINGE-NEEDLE,INSULIN,0.5 ML",676,2451,3151.9,62825.66,798,,1810,2387.4,46035.73,,598,4393.53,9651.68,N,N,N,N
ULTRACET,TRAMADOL HCL/ACETAMINOPHEN,696,2585,2960.8,841214.99,574,,2217,2537.5,705165.37,,499,4529.21,103085.56,Y,N,N,N
ULTRAM,TRAMADOL HCL,2316,8929,10304.6,3288414.62,1885,,7041,8281.7,2556265.05,,1542,15671.86,383586.07,Y,N,N,N
ULTRAM ER,TRAMADOL HCL,133,274,365.3,150996.80,123,,195,257.7,105638.74,,89,529.91,22274.16,Y,Y,N,N
ULTRAVATE,HALOBETASOL PROPIONATE,123,165,167.5,161457.31,129,,151,153.5,148982.92,,118,106.40,10433.27,N,N,N,N
ULTRAVATE X,HALOBETASOL/LACTIC ACID,65,101,118.8,88458.03,67,,81,96.2,71258.37,,56,167.80,6841.97,N,N,N,N
ULTRESA,LIPASE/PROTEASE/AMYLASE,18,33,42.8,68824.53,17,,16,22,7386.44,*,,31.46,4050.72,N,N,N,N
UMECTA,UREA,17,31,31.2,8380.85,17,*,,,,*,,37.15,568.96,N,N,N,N
UNASYN,AMPICILLIN SODIUM/SULBACTAM NA,307,938,938.0,213332.58,317,,587,587,125372.10,,223,2063.00,28567.39,N,N,Y,N
UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",58264,329069,490222.8,8809937.52,104127,,235020,359118.1,6223847.61,,74265,404534.67,1627217.47,N,N,N,N
UNIFINE PENTIPS PLUS,"PEN NEEDLE, DIABETIC",20885,69242,117564.1,1986948.51,27470,,51920,91168.5,1472647.07,,20693,77955.49,558582.55,N,N,N,N
UNITHROID,LEVOTHYROXINE SODIUM,3533,24442,49177.2,1041048.54,5683,,21903,45061.8,944400.65,,5096,7781.14,294823.43,N,N,N,N
UPTRAVI,SELEXIPAG,602,6738,6749.3,121237903.72,1300,,4202,4212.9,76026255.43,,821,18731.16,3140386.47,N,N,N,N
UR N-C,METH/MEBLUE/SOD PHOS/PSAL/HYOS,56,122,135.3,11237.22,58,,86,95.3,7295.44,,45,72.25,3139.65,N,N,N,N
URAMIT MB,METH/MEBLUE/SOD PHOS/PSAL/HYOS,,14,14.0,1329.76,11,#,,,,#,,1.20,187.68,N,N,N,N
UREA,UREA,784,1401,1445.0,138380.71,839,,944,968.5,89515.78,,585,1189.86,18131.12,N,N,N,N
URECHOLINE,BETHANECHOL CHLORIDE,16,49,63.0,40897.63,15,,33,43,31158.94,#,,17.12,858.23,N,N,N,N
URIBEL,METH/MEBLUE/SOD PHOS/PSAL/HYOS,167,418,447.0,40843.30,210,,371,397,33895.53,,194,342.53,6544.33,N,N,N,N
URIN D.S.,METH/MEBLUE/SOD PHOS/PSAL/HYOS,660,3881,3885.1,26742.00,2818,,3571,3575,24166.47,,2554,164.04,4162.22,N,N,N,N
URO-L,METH/MEBLUE/SOD PHOS/PSAL/HYOS,,17,17.0,3363.76,,#,,,,#,,88.92,336.42,N,N,N,N
UROCIT-K,POTASSIUM CITRATE,340,1264,1873.4,415745.89,338,,1060,1612.7,363932.05,,284,881.36,77206.54,N,N,N,N
UROGESIC-BLUE,METHENAM/SOD PHOS/MBLUE/HYOSCY,329,681,701.3,104718.08,361,,536,544.1,75301.12,,277,857.18,16694.11,N,N,N,N
UROXATRAL,ALFUZOSIN HCL,803,3865,6634.0,3782671.49,770,,3575,6208.6,3532172.59,,718,4548.52,252508.13,N,N,N,N
URSO,URSODIOL,116,445,646.8,265942.55,105,,390,577.7,243819.30,,88,398.41,44377.04,N,N,N,N
URSO FORTE,URSODIOL,210,757,1251.7,508670.57,190,,675,1139.7,470200.97,,169,580.96,85608.56,N,N,N,N
URSODIOL,URSODIOL,49119,390961,568025.2,127924435.98,76291,,312675,468310.5,102555852.66,,60245,423432.78,15828513.40,N,N,N,N
USTELL,METHEN/MBLUE/SAL/SOD PHOS/HYOS,74,161,184.3,23999.86,68,,128,151,17836.55,#,,44.25,5809.94,N,N,N,N
